responsable,institucion_original,institucion_standard,cuidad,cod_postal,direccion,lat,lon,lineas_investigacion,area_clinica,proyecto_descripcion,proyecto_estado,descripcion_kw,ip,ip_nivel,linea_investigacion_caracter_inovador,entidades_finaciodoras,fondos_capital_riesgo,entidades_colaboradoras,ano_inicio,ano_fin,capacidad_trabajo
Hospital Clínico San Carlos,Hospital La Fe-IIS LA FE,Hospital Universitario La Fe,Valencia,46009,"Avinguda de Campanar, 21",39.484134,-0.391490,Metabolismo y Hepatotoxicidad de Fármacos,Hepatología,"Esta línea tiene como objetivo contribuir con nuevas estrategias que permitan el desarrollo de fármacos más eficaces y seguros mediante el estudio en modelos celulares hepáticos del metabolismo de fármacos, las interacciones
medicamentosas, mecanismos moleculares de
hepatotoxicidad y hepatotoxicidad idiosincrásica.",Activo,"Esta línea tiene como objetivo contribuir con nuevas estrategias que permitan el desarrollo de fármacos más eficaces y seguros mediante el estudio en modelos celulares hepáticos del metabolismo de fármacos, las interacciones
medicamentosas, mecanismos moleculares de
hepatotoxicidad y hepatotoxicidad idiosincrásica.",Castell JV,3,SI,UNION EUROPEA,NO,UNION EUROPEA,2011,2015,3
Hospital Clínico San Carlos,Hospital La Fe-IIS LA FE,Hospital Universitario La Fe,Valencia,46009,"Avinguda de Campanar, 21",39.484134,-0.391490,Metabonómica Hepática,Hepatología,La finalidad de esta línea de investigación es llevar a cabo estudios relacionados con la hepatología mediante la utilización de la espectrometría de masas y la quimiometría como estrategia de análisis metabonómico,Activo,La finalidad de esta línea de investigación es llevar a cabo estudios relacionados con la hepatología mediante la utilización de la espectrometría de masas y la quimiometría como estrategia de análisis metabonómico,Castell JV,3,SI,UNION EUROPEA,NO,UNION EUROPEA,2011,2015,3
Hospital Clínico San Carlos,Hospital La Fe-IIS LA FE,Hospital Universitario La Fe,Valencia,46009,"Avinguda de Campanar, 21",39.484134,-0.391490,Terapia Celular Hepática,Hepatología,"El objetivo en esta área es aplicar la terapia celular al tratamiento de ciertas patologías hepáticas (fallo hepático agudo, enfermedades metabólicas congénitas), convirtiéndola de ese modo en una estrategia terapéutica complementaria, o en parte sustitutiva al trasplante de órgano entero",Activo,"El objetivo en esta área es aplicar la terapia celular al tratamiento de ciertas patologías hepáticas (fallo hepático agudo, enfermedades metabólicas congénitas), convirtiéndola de ese modo en una estrategia terapéutica complementaria, o en parte sustitutiva al trasplante de órgano entero",Castell JV,3,SI,UNION EUROPEA,NO,UNION EUROPEA,2011,2015,3
Hospital Clínico San Carlos,Hospital La Fe-IIS LA FE,Hospital Universitario La Fe,Valencia,46009,"Avinguda de Campanar, 21",39.484134,-0.391490,"Cardiovascular. Estudios preclínicos con células troncales
adultas para el tratamiento del infarto de
miocardio",Patología cardiovasculares,"Estudios preclínicos con células troncales
adultas para el tratamiento del infarto de
miocardio",Activo,"Estudios preclínicos con células troncales
adultas para el tratamiento del infarto de
miocardio",SEPULVEDA P,3,SI,PLAN NACIONAL,NO,CIPF,2009,2013,3
Hospital Clínico San Carlos,Hospital La Fe-IIS LA FE,Hospital Universitario La Fe,Valencia,46009,"Avinguda de Campanar, 21",39.484134,-0.391490,Generación de iPSC de pacientes con cardiopatías congénitas,Patología cardiovasculares,"En relación con cardiopatías el grupo estudio procesos de reprogramación de keratinocitos y fibroblastos para el diseño de modelos celulares
de ambas enfermedades.",Activo,"En relación con cardiopatías el grupo estudio procesos de reprogramación de keratinocitos y fibroblastos para el diseño de modelos celulares
de ambas enfermedades.",SEPULVEDA P,3,SI,PLAN NACIONAL,NO,CIPF,2009,2014,3
Hospital Clínico San Carlos,Hospital La Fe-IIS LA FE,Hospital Universitario La Fe,Valencia,46009,"Avinguda de Campanar, 21",39.484134,-0.391490,Oncología. Trasplante de progenitores hematopoyéticos,Oncología,"El trasplante de sangre de cordón umbilical en pacientes adultos ha sido la principal área de investigación en el campo del trasplante de progenitores hematopoyéticos, siendo el grupo en la actualidad líder en este procedimiento.",Activo,"El trasplante de sangre de cordón umbilical en pacientes adultos ha sido la principal área de investigación en el campo del trasplante de progenitores hematopoyéticos, siendo el grupo en la actualidad líder en este procedimiento.",SANZ MA,3,SI,PLAN NACIONAL,NO,,2009,2012,3
Hospital Clínico San Carlos,Hospital La Fe-IIS LA FE,Hospital Universitario La Fe,Valencia,46009,"Avinguda de Campanar, 21",39.484134,-0.391490,"Desarrollo y validación de biomarcadores de
imagen",Diagnóstico por imagen / Medicina Nuclear / Radiología,"optimizar la eficiencia diagnóstica y terapéutica
del uso de biomarcadores de imagen con un abordaje multidisciplinar y multimodal, así como realizar la validación de su relación con la realidad estructural, fisiológica, biológica y molecular, y controlar su calidad técnica.",Activo,"optimizar la eficiencia diagnóstica y terapéutica
del uso de biomarcadores de imagen con un abordaje multidisciplinar y multimodal, así como realizar la validación de su relación con la realidad estructural, fisiológica, biológica y molecular, y controlar su calidad técnica.",MARTI-BONMATI L,3,SI,PLAN NACIONAL,NO,"BRACCO, PHILIPS, SIEMENS",2011,2014,3
Hospital Clínico San Carlos,Hospital La Fe-IIS LA FE,Hospital Universitario La Fe,Valencia,46009,"Avinguda de Campanar, 21",39.484134,-0.391490,"Identificación de nuevos genes implicados en
enfermedades neurosensoriales",Enfermedades raras,"Los esfuerzos del grupo en este campo se centran en la búsqueda de nuevos genes candidatos en aquellos pacientes en los que se ha descartado la presencia de mutaciones en aquellos genes conocidos asociados a la
enfermedad.",Activo,"Los esfuerzos del grupo en este campo se centran en la búsqueda de nuevos genes candidatos en aquellos pacientes en los que se ha descartado la presencia de mutaciones en aquellos genes conocidos asociados a la
enfermedad.",MILLAN JM,3,SI,UNION EUROPEA,NO,CIBERER,2009,2014,3
Hospital Clínico San Carlos,Hospital La Fe-IIS LA FE,Hospital Universitario La Fe,Valencia,46009,"Avinguda de Campanar, 21",39.484134,-0.391490,"Prototipo para realizar
endoscopias digestivas que facilita el avance a larga distancia del endoscopio,
a lo largo del intestino delgado",Gastroenterología,"Desarrollado por la Unidad de Endoscopia Digestiva del Hospital Universitario La
Fe e investigadores de la UPV",Activo,"Desarrollado por la Unidad de Endoscopia Digestiva del Hospital Universitario La
Fe e investigadores de la UPV",PONS V,3,SI,PLAN NACIONAL,NO,UPV,2008,2012,3
Hospital Clínico San Carlos,Hospital La Fe-IIS LA FE,Hospital Universitario La Fe,Valencia,46009,"Avinguda de Campanar, 21",39.484134,-0.391490,PROYECTO CUIDISS,Otros,Aplicación Informática para gestión del Cuadro de Mando Integral en Sistemas Hospitalarios de Gestión ,Activo,Aplicación Informática para gestión del Cuadro de Mando Integral en Sistemas Hospitalarios de Gestión ,VALDIVIESO B,3,SI,PLAN NACIONAL,NO,ENCAMINA,2011,2012,3
