tipo_entidad,institucion,pais,sector,lat,lon
Empresa,B. Braun Surgical,Alemania,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Bayer AG,Alemania,Farma,51.165691,10.451526
Empresa,Dr. Willmar Schwabe GmbH & Co KG,Alemania,Farma,51.165691,10.451526
Empresa,"Biocrates Life Sciences AG, ",Austria,Biotech (Diagnóstico y equipos médicos),47.516231,14.550072
Empresa,"Biomarker Design Forschungs GmbH, ",Austria,Biotech (Diagnóstico y equipos médicos),47.516231,14.550072
Empresa,Biomay Produktions und Handelsaktiengesellschaft,Austria,Farma,47.516231,14.550072
Empresa,Biomay Produktions und Handelsaktiengesellschaft,Austria,Farma,47.516231,14.550072
Empresa,Cellzome AG,Austria,Farma,47.516231,14.550072
Empresa,Emergentec Biodevelopment GmbH,Austria,Biotech (Diagnóstico y equipos médicos),47.516231,14.550072
Empresa,Guger Technologies OEG,Austria,TIC,47.516231,14.550072
Empresa,Guger Technologies OEG ,Austria,TIC,47.516231,14.550072
Empresa,St. Jude Medical Medizintechnik (SJM) Ges.m.bH,Austria,Otros,47.516231,14.550072
Empresa,VBC-Genomics Bioscience Research GMBH,Austria,Biotech (Diagnóstico y equipos médicos),47.516231,14.550072
Universidad,Institut für Neurologie Universität Wien,Austria,Otros,47.516231,14.550072
Universidad,Medizinische Universitaet Graz  ,Austria,Biotech (Diagnóstico y equipos médicos),47.516231,14.550072
Universidad,Medizinische Universitaet Wien Muw,Austria,Otros,47.516231,14.550072
Universidad,Medizinische Universitaet Wien Muw,Austria,E-health,47.516231,14.550072
Universidad,Medizinische Universitaet Wien Muw,Austria,Otros,47.516231,14.550072
Universidad,Medizinische Universitaet Wien Muw,Austria,Otros,47.516231,14.550072
Universidad,Medizinische Universitaet Wien Muw,Austria,Otros,47.516231,14.550072
Universidad,Medizinische Universitaet Wien Muw,Austria,Otros,47.516231,14.550072
Universidad,Medizinische Universitaet Wien Muw,Austria,Otros,47.516231,14.550072
Universidad,Technische Universitaet Graz ,Austria,Otros,47.516231,14.550072
Universidad,Technische Universitaet Wien,Austria,Otros,47.516231,14.550072
Universidad,Technische Universitaet Wien,Austria,E-health,47.516231,14.550072
Universidad,Technische Universitaet Wien,Austria,TIC,47.516231,14.550072
Universidad,Technische Universitaet Wien,Austria,Otros,47.516231,14.550072
Universidad,University of Innsbruck ,Austria,Farma,47.516231,14.550072
Centro Tecnológico,AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH,Austria,Biotech (Diagnóstico y equipos médicos),47.516231,14.550072
Centro Tecnológico,Salzburg Research Forschungsgesellschaft m.b.H. (SRFG),Austria,TIC,47.516231,14.550072
Centro Tecnológico,TMG,Austria,TIC,47.516231,14.550072
Empresa,"Biogazelle NV, ",Belgium,Biotech (Diagnóstico y equipos médicos),50.503887,4.469936
Empresa,Diagenode SA,Belgium,Biotech (Diagnóstico y equipos médicos),50.503887,4.469936
Empresa,Diagenode SA,Belgium,Biotech (Diagnóstico y equipos médicos),50.503887,4.469936
Empresa,Henogen S.A.,Belgium,Farma,50.503887,4.469936
Universidad,Ghent university,Belgium,Alimentación,50.503887,4.469936
Universidad,Hôpital Erasme - Université Libre de Bruxelles,Belgium,Biotech (Diagnóstico y equipos médicos),50.503887,4.469936
Universidad,Interuniversitair micro-electronica centrum vzw,Belgium,Medical Devices,50.503887,4.469936
Universidad,Katholieke Universiteit Leuven,Belgium,Biotech (Diagnóstico y equipos médicos),50.503887,4.469936
Universidad,Katholieke Universiteit Leuven,Belgium,Biotech (Diagnóstico y equipos médicos),50.503887,4.469936
Universidad,Katholieke Universiteit Leuven,Belgium,Biotech (Diagnóstico y equipos médicos),50.503887,4.469936
Universidad,Katholieke Universiteit Leuven,Belgium,Otros,50.503887,4.469936
Universidad,Katholieke Universiteit Leuven,Belgium,Otros,50.503887,4.469936
Universidad,Université Libre de Bruxelles,Belgium,Biotech (Diagnóstico y equipos médicos),50.503887,4.469936
Universidad,Université Libre de Bruxelles,Belgium,Otros,50.503887,4.469936
Universidad,Université Libre de Bruxelles ,Belgium,Otros,50.503887,4.469936
Universidad,Université Libre de Bruxelles ,Belgium,Otros,50.503887,4.469936
Universidad,University Hospital Leuven,Belgium,Otros,50.503887,4.469936
Universidad,University of Antwerp,Belgium,Biotech (Diagnóstico y equipos médicos),50.503887,4.469936
Universidad,University of Antwerp,Belgium,Otros,50.503887,4.469936
